Gene,DiffusionScore
RHOB,0.0004808161311892357
GSK3B,0.0004775583787838663
RAB11A,0.00047555805666795473
CAND1,0.0004749013545368384
EWSR1,0.0004748906869203371
CUL4A,0.0004748775287954373
MEPCE,0.0004747394852924696
RNF123,0.0004745658588278482
LRRC59,0.00047240839787093553
CUL7,0.00047239849494047577
HDLBP,0.00047226956607527025
RPN1,0.00047134695183885213
WWP2,0.0004693389875563153
FN1,0.0004679630963354004
FANCD2,0.00046779210329893746
USP7,0.0004661561208562368
CDC5L,0.0004652775345890685
HDAC2,0.00046501375744108025
BSG,0.000463004602566481
HSCB,0.00046231327484278693
G3BP1,0.00046105741725401315
UBQLN2,0.0004607677908481058
RPS6,0.0004569497619423687
LRPPRC,0.0004558467373309839
EMD,0.00045437893384429575
KDM1A,0.00045378007942756385
RNF2,0.0004512716714261109
RPN2,0.0004490106853064292
DOT1L,0.0004416650619573579
C1QBP,0.00044083411201200094
SEC61B,0.00043861982833988617
UBE2O,0.000437588570154152
VIM,0.0004337547652418364
CDK2,0.00043143251529055083
TMPO,0.00042891163473337635
TRRAP,0.0004272665625819535
NCL,0.00042489736367075896
BTRC,0.00042459099923306616
BTF3,0.00042365692162609376
GRB2,0.00042214372087895596
AURKB,0.00042196678530340284
GOLGA2,0.00042139944014674716
PRPF8,0.00042122497498002135
CHD3,0.000420310503232015
CAV1,0.0004194827245726463
FBXO6,0.000417813204023963
MEOX2,0.0004168151449290252
LAMTOR1,0.00041621249794206253
MYH9,0.0004158943959520947
SNW1,0.00041566272937391534
CDH1,0.00041366084539603187
KCNA3,0.0004134238345595851
EPHA2,0.00041221208376429657
RICTOR,0.00041182138801305093
PIH1D1,0.00041175516503251194
FUS,0.00041134814084851397
SIRT7,0.00041061321815700016
CUL4B,0.0004102836862927999
PDHA1,0.0004070914591748973
RPL4,0.00040662947806328025
CHMP4B,0.00040473773669407923
HNRNPA2B1,0.000402551457060893
H3F3A,0.0004010640728422787
HSPB1,0.00040064616711033344
TUBA1A,0.0004003160994287538
PPP1CC,0.0004000721451871009
HRAS,0.00039935327208037225
SRPK2,0.00039932473811361607
RAB5A,0.00039908896069304386
ERBB2,0.0003979047126293284
EEF1A1,0.0003969021062246157
YBX1,0.0003963596329117134
HNRNPK,0.00039596054442410855
NRAS,0.00039559815133146547
SNCA,0.00039498484079138684
LYN,0.00039377261621754566
IFI16,0.00039367106194458185
HNRNPM,0.000391570099433591
VAPA,0.0003905650093107348
ENO1,0.00038973236875692577
DDX21,0.00038855703717028116
TRIM21,0.0003884700548955155
PINK1,0.00038795792797467277
HIST2H2BE,0.00038783739259319025
RHOF,0.00038747781457774066
RPS16,0.00038698426733161214
SFN,0.00038550792318666323
HSPA9,0.0003853134573373608
RAC2,0.0003841001001698221
RNF113A,0.0003840118763075962
STX7,0.00038332626109348675
NUPR1,0.00038326567804755624
RPS3,0.0003831003073780616
CHMP4C,0.00038294399830237643
PRKDC,0.000380321077848299
RPL3,0.0003800689731373841
CIC,0.00037992549033484427
TUBB,0.0003795423153274274
SSRP1,0.0003794671233250602
SHMT2,0.0003783835214990844
AURKA,0.00037837448854551785
SYNCRIP,0.0003779234791796674
HSPA4,0.0003768386614821101
ACTC1,0.00037505170077249727
RC3H1,0.00037436720767689507
CSNK2A2,0.0003731881735383646
TUFM,0.00037318536785302647
CCDC8,0.00037307280733002646
